epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4897,1.53501,15.6805,1.40227,0.96978,0.96259,0.98288,0.60705,1.24404,2.83989,1.30961,0.000665333,0.000665333,0.000665333
2,151.435,1.33601,7.92682,1.30992,0.9802,0.971,0.99052,0.65294,1.11179,2.15181,1.24399,0.00130563,0.00130563,0.00130563
3,219.833,1.2429,4.01847,1.275,0.95131,0.966,0.98617,0.71758,0.99515,0.80512,1.14664,0.00191952,0.00191952,0.00191952
4,288.064,1.18176,2.47108,1.2532,0.98741,0.989,0.99449,0.73113,0.92879,0.6285,1.13086,0.0018812,0.0018812,0.0018812
5,356.518,1.06128,1.64616,1.1668,0.99625,0.992,0.99497,0.74095,0.86629,0.62201,1.09015,0.0018416,0.0018416,0.0018416
6,425.037,0.99674,1.19924,1.14057,0.99826,0.988,0.99464,0.77805,0.85105,0.54836,1.07326,0.001802,0.001802,0.001802
7,493.548,0.98268,1.12028,1.11414,0.99481,0.995,0.99496,0.80501,0.76438,0.54025,1.01956,0.0017624,0.0017624,0.0017624
8,562.098,0.90197,0.88418,1.07734,0.999,0.99489,0.99495,0.81146,0.73568,0.48189,1.00946,0.0017228,0.0017228,0.0017228
9,630.55,0.85764,0.76737,1.05189,0.9983,0.993,0.99498,0.83328,0.69222,0.46439,0.98842,0.0016832,0.0016832,0.0016832
10,699.042,0.82735,0.7282,1.03459,0.99802,0.994,0.99499,0.78214,0.81596,0.48353,1.06163,0.0016436,0.0016436,0.0016436
11,767.602,0.79654,0.70499,1.02158,0.99554,0.997,0.99486,0.85775,0.60607,0.41844,0.95021,0.001604,0.001604,0.001604
12,835.914,0.77101,0.61393,1.00612,0.999,0.99695,0.995,0.85332,0.63046,0.40462,0.94899,0.0015644,0.0015644,0.0015644
13,904.227,0.73606,0.56659,0.98298,0.9982,0.995,0.99499,0.85866,0.59106,0.3999,0.93541,0.0015248,0.0015248,0.0015248
14,972.283,0.73122,0.56931,0.98091,1,0.99657,0.995,0.87707,0.57494,0.38714,0.92286,0.0014852,0.0014852,0.0014852
15,1040.49,0.70926,0.57269,0.97535,0.99778,0.997,0.995,0.86375,0.54685,0.37522,0.91784,0.0014456,0.0014456,0.0014456
16,1109.23,0.65989,0.5499,0.95915,0.99874,0.998,0.99469,0.87419,0.53398,0.37296,0.89114,0.001406,0.001406,0.001406
17,1177.54,0.66336,0.50663,0.93637,1,0.99788,0.995,0.89971,0.49232,0.34834,0.8753,0.0013664,0.0013664,0.0013664
18,1245.85,0.66558,0.50357,0.96247,0.99882,0.998,0.995,0.90184,0.49437,0.34052,0.88899,0.0013268,0.0013268,0.0013268
19,1314.5,0.66424,0.5028,0.94876,0.999,0.99984,0.995,0.8998,0.50027,0.33212,0.88956,0.0012872,0.0012872,0.0012872
20,1384.18,0.59556,0.43265,0.90691,0.999,0.99892,0.9949,0.92157,0.44855,0.30543,0.86517,0.0012476,0.0012476,0.0012476
21,1454.79,0.58801,0.43357,0.91974,0.99897,0.998,0.99499,0.9194,0.44737,0.31395,0.87021,0.001208,0.001208,0.001208
22,1523.63,0.60246,0.4598,0.91179,0.999,0.99894,0.995,0.89823,0.47718,0.32911,0.87503,0.0011684,0.0011684,0.0011684
23,1592.61,0.56866,0.45193,0.90944,0.99884,0.999,0.99498,0.91267,0.47137,0.32,0.8754,0.0011288,0.0011288,0.0011288
24,1661.51,0.55195,0.41324,0.90762,0.99986,1,0.995,0.93219,0.41558,0.30042,0.84877,0.0010892,0.0010892,0.0010892
25,1730.39,0.56583,0.41134,0.91033,0.999,0.99837,0.995,0.92196,0.4551,0.30287,0.86676,0.0010496,0.0010496,0.0010496
26,1799.17,0.55479,0.40738,0.88875,0.99877,1,0.995,0.93558,0.3881,0.2789,0.84034,0.00101,0.00101,0.00101
27,1867.93,0.54913,0.40666,0.90836,0.99973,1,0.995,0.93111,0.39645,0.28152,0.8495,0.0009704,0.0009704,0.0009704
28,1936.81,0.53061,0.38358,0.89219,0.99975,1,0.995,0.94879,0.3632,0.27038,0.83209,0.0009308,0.0009308,0.0009308
29,2005.74,0.48618,0.362,0.87342,0.99988,1,0.995,0.94487,0.38114,0.27119,0.83335,0.0008912,0.0008912,0.0008912
30,2074.51,0.5051,0.37832,0.88517,0.9999,1,0.995,0.9479,0.36837,0.26999,0.83322,0.0008516,0.0008516,0.0008516
31,2143.36,0.48053,0.37108,0.86527,0.99883,1,0.995,0.95145,0.36838,0.26146,0.83248,0.000812,0.000812,0.000812
32,2212.15,0.47962,0.35659,0.85911,0.99892,1,0.995,0.95794,0.3584,0.26376,0.827,0.0007724,0.0007724,0.0007724
33,2280.89,0.4839,0.3582,0.87781,0.99984,1,0.995,0.94977,0.3734,0.25904,0.83509,0.0007328,0.0007328,0.0007328
34,2349.83,0.48423,0.36964,0.87624,0.99958,1,0.995,0.93797,0.3491,0.25099,0.82762,0.0006932,0.0006932,0.0006932
35,2418.56,0.44155,0.32645,0.85378,0.99991,1,0.995,0.95122,0.35403,0.24922,0.82248,0.0006536,0.0006536,0.0006536
36,2487.35,0.45146,0.32783,0.85826,0.99922,1,0.995,0.96187,0.32745,0.23466,0.81747,0.000614,0.000614,0.000614
37,2557.89,0.42988,0.32005,0.84592,0.99988,1,0.995,0.96413,0.32724,0.24086,0.81373,0.0005744,0.0005744,0.0005744
38,2626.61,0.44508,0.34708,0.85139,0.99993,1,0.995,0.96596,0.32106,0.23406,0.81549,0.0005348,0.0005348,0.0005348
39,2695.43,0.42011,0.31867,0.84363,0.99993,1,0.995,0.97024,0.28783,0.21936,0.8075,0.0004952,0.0004952,0.0004952
